protein,limma_pvalue,mu_hat,se_hat,residual_dof
P63313,0.01908824983768051,0.7575337775303763,0.3127574664084001,28
K7EQX8,0.040395093143133866,-1.1001248978582727,0.5485929635543046,28
P80723,0.14830850566145484,-0.631529296480585,0.44896150259670303,28
O75368,0.6004203983870515,-0.21386882372237326,0.42378149340175786,28
G3V1A4,0.33661832559882854,-0.17483659421553338,0.15469943758556204,28
H0YNC7,0.7404312257999129,0.13909017834723283,0.437289289066699,28
P01834,0.951733001951446,-0.02590485173016957,0.4467412619713555,28
P09493,0.5623031689509065,-0.2115839504941018,0.3750500708161385,28
P02768,0.2609772836268663,-0.46607075875320825,0.42734928971822533,28
P67936,0.47728736472907485,-0.18468294990286627,0.25307058890880285,28
P08670,0.1129768933644031,-0.43789405043022195,0.2674851676551282,28
Q6ZN40,0.5230917186862585,-0.3102796815334704,0.5095641294507999,28
P31949,0.07244165352612299,0.5657332782980993,0.3098166061845174,28
H7BYY1,0.49932177792072086,-0.2525137362122729,0.384398742383856,28
Q5TCU3,0.6110141169109836,0.21178282517404157,0.432874029232167,28
Q9C010,0.16169637480784024,-0.8131200014742963,0.6068069794045317,28
P04406,0.13376810203813624,-0.39984278000968265,0.25692875759065104,28
O00244,0.05562781522118475,-0.5063286174500892,0.251062504654483,28
K7ENT6,0.7308984290959128,-0.1906755614278759,0.5864354256698419,28
P52566,0.9843011133680306,0.006463066405222331,0.33428383543025836,28
P02647,0.6237119608188564,-0.16058762563806372,0.332301528169812,28
F8VXL2,0.6691040169482381,0.11515362886299202,0.26519330230622057,28
P30086,0.7337691310416024,-0.07795658148997314,0.21688451786511198,28
B5MC59,0.8923913715396828,-0.026155259229533906,0.17160712692238678,28
Q15847,0.634635390019795,0.22743926753765814,0.5022471079048155,28
P08727,0.3424133074895598,0.3818392156179452,0.41476673616023413,28
P02787,0.19557010288626042,-0.4929922878529628,0.38842174646097466,28
L0R819,0.1563049227954106,0.28349538870124535,0.17632811801148043,28
P07737,0.22012369179388913,-0.2410983953438132,0.17299215204244942,28
P63208,0.8312580841711823,-0.06191576607291582,0.29034467017079535,28
P04075,0.11691574848550153,-0.45599775789427477,0.28442958085409514,28
P14174,0.908196950958708,-0.03265946387344512,0.28184065740673625,28
P60660,0.9312772794074746,-0.022691217315477047,0.2581217811933209,28
P31150,0.5885674089275554,-0.13741233491991606,0.2466095266241939,28
Q13541,0.06974673691026315,-0.420952027557989,0.21356510158210368,28
O75347,0.7054262854720297,0.09622530069451468,0.24758340602659298,28
P26038,0.20985089192519005,-0.26558813311178464,0.19219917184198754,28
G8JLA2,0.17675583006399578,0.36185696354591856,0.25937247052748824,28
Q06323,0.1894876262424663,-0.3173080866988693,0.22871650432930227,28
P11142,0.425901606351761,0.1290017296141,0.12717464886288968,28
P13693,0.24550486850625752,0.33982241062860963,0.2893446795736441,28
P60174,0.08170270630119002,-0.36754117710999934,0.18837481912903437,28
O76070,0.12879585998633905,-0.9804484839002301,0.6747060649905088,28
E9PHK0,0.8643213968180842,0.06018175297304146,0.3613002750164934,28
P06733,0.4567482322037497,0.17482332079582233,0.22292233709493026,28
P33241,0.6403551083143201,0.15091678804542558,0.3274249353784252,28
Q06830,0.36515866410162723,-0.19404627331807622,0.19685792636771224,28
O75506,0.2517396523970408,0.3244288610897842,0.2783610017151575,28
P09382,0.011465733371809879,-0.778339908270861,0.29328251075081047,28
Q9NWV4,0.01884248369459851,-0.4560386322871338,0.16197559481140722,28
Q15181,0.006692853557029424,0.7097611649134591,0.23906035769185136,28
P51858,0.8066078493068622,0.07389557993262265,0.3034439970001033,28
Q9NSA3,4.926933632400707e-4,-1.2175297863110193,0.3217743207129062,28
Q9UK76,0.7772362887136621,0.1012234648034406,0.36748542869524675,28
P00558,0.06978129765706269,0.44948969986172554,0.23239500195849927,28
P0CG05,0.3635888092068188,-0.5109413948394531,0.5918713796405903,28
P62258,0.7276254926891148,0.07329981359145607,0.19347274730164843,28
P06703,0.006746292536362233,0.8665177703041602,0.3039103717379689,28
E5RHG8,0.9823645735546636,0.005036784029382457,0.2154757780567594,28
P05787,0.5172668172129207,0.23260920357654855,0.36805085036376833,28
P63104,0.21179808615003204,0.359959273744067,0.2837907346109921,28
Q5TBU2,0.0550182530970013,0.9663638957997315,0.5153247694394967,28
P18669,0.21918143080172015,-0.2500649787536358,0.18184890448122548,28
P60709,0.5837114522474167,-0.09016491050476923,0.13148037587915756,28
Q15121,0.8087939353677109,-0.05944612930651587,0.23707625908105356,28
P13796,0.3721718716609985,0.3144461548803572,0.35913709073382716,28
O43707,0.9452430029116504,-0.021901917394701348,0.32327715808211016,28
Q09666,0.1828954209385942,-0.3995460104744896,0.2967204515515373,28
P45973,0.04249972146769386,0.5585424116505542,0.26243148812914735,28
P02774,0.17217444509347038,-0.6443695297110972,0.48836066729592825,28
P00441,0.690864298902051,-0.10453632136954233,0.2574532792391638,28
P07900,0.27681581570880603,0.28208271209202074,0.25089516500441555,28
P08238,0.8410701338406387,0.04393488746506513,0.20451133769630447,28
P63241,0.57435352779014,0.22310987131459312,0.41123586525963857,28
O75223,0.030685967698089345,1.2520983584818284,0.5918963460333437,28
P60981,0.5698848923746169,-0.17177884971227048,0.3032674693413086,28
P08107,0.06557042749823712,-0.5394363153541647,0.28443794947489354,28
